,3人牌局,4人牌局,5人牌局,6人牌局
牌型,胜率*1000,胜率*1000,胜率*1000,胜率*1000
AA,740,640,560,500
AK,510,420,360,320
AQ,500,400,340,300
AJ,490,390,330,290
AT,470,380,310,270
A9,450,350,290,250
A8,440,340,280,240
A7,430,330,270,230
A6,420,320,260,220
A5,410,310,250,220
A4,400,300,250,210
A3,390,290,240,200
A2,380,290,240,200
KK,700,590,510,440
KQ,470,380,330,290
KJ,460,370,310,270
KT,450,360,300,260
K9,420,330,270,230
K8,400,310,250,220
K7,400,300,250,210
K6,390,290,240,200
K5,370,280,230,200
K4,370,280,220,190
K3,360,270,220,190
K2,350,260,210,180
QQ,660,540,460,390
QJ,440,360,300,260
QT,430,350,290,250
Q9,410,320,270,230
Q8,390,300,250,210
Q7,370,280,230,190
Q6,360,270,220,190
Q5,350,260,210,180
Q4,340,260,210,180
Q3,330,250,200,170
Q2,320,240,200,170
JJ,620,500,410,340
JT,420,340,290,250
J9,400,310,260,230
J8,380,290,240,210
J7,360,270,220,190
J6,340,250,200,170
J5,330,250,190,170
J4,320,240,180,160
J3,310,230,180,160
J2,300,230,170,160
TT,580,460,370,300
T9,390,310,260,230
T8,370,290,240,210
T7,350,270,220,190
T6,330,250,200,170
T5,310,230,190,160
T4,300,230,180,160
T3,290,220,180,150
T2,290,210,170,150
99,540,420,330,270
98,360,290,240,200
97,340,270,220,190
96,320,250,200,170
95,300,230,190,160
94,280,210,170,150
93,280,210,170,140
92,270,200,160,140
88,510,380,300,250
87,340,270,220,190
86,320,250,210,180
85,300,230,190,160
84,280,220,180,150
83,260,200,160,140
82,260,180,160,130
77,470,350,270,220
76,320,250,210,180
75,300,230,190,170
74,280,220,180,150
73,260,200,160,140
72,240,180,150,130
66,440,320,250,200
65,310,240,200,170
64,290,220,180,160
63,270,210,160,150
62,250,190,150,130
55,400,290,230,190
54,280,220,180,150
53,260,200,160,140
52,240,180,150,130
44,370,260,210,170
43,250,190,160,140
42,230,180,140,120
33,340,240,190,160
32,230,170,140,120
22,310,220,180,160
KA,490,390,330,280
QA,470,370,310,270
QK,450,350,300,250
JA,460,360,290,250
JK,430,340,280,240
JQ,420,330,270,230
TA,450,340,280,240
TK,420,330,270,220
TQ,400,320,260,220
TJ,390,310,260,220
9A,420,310,250,210
9K,390,300,240,200
9Q,380,290,230,190
9J,370,280,230,190
9T,360,280,230,190
8A,410,300,240,200
8K,370,270,210,170
8Q,360,260,210,170
8J,340,260,210,170
8T,340,260,210,170
89,330,250,200,170
7A,400,290,230,190
7K,360,260,210,170
7Q,330,240,190,150
7J,320,240,190,150
7T,310,230,190,150
79,310,230,180,150
78,310,230,180,150
6A,380,280,220,180
6K,350,250,200,160
6Q,320,230,180,150
6J,300,210,170,140
6T,290,210,170,140
69,290,210,170,130
68,290,210,170,130
67,290,210,170,130
5A,370,270,210,170
5K,340,250,190,150
5Q,310,220,170,140
5J,290,210,160,140
5T,270,190,150,140
59,270,190,150,140
58,270,190,150,130
57,270,190,150,130
56,270,190,150,130
4A,360,260,200,170
4K,330,240,180,150
4Q,300,220,170,130
4J,280,200,160,120
4T,260,190,160,120
49,250,180,150,120
48,240,180,150,120
47,240,180,150,110
46,240,180,140,110
45,240,170,140,110
3A,350,250,200,160
3K,320,230,180,140
3Q,290,210,160,130
3J,270,190,150,120
3T,260,180,140,110
39,240,170,130,100
38,220,170,130,100
37,220,160,130,100
36,220,160,120,100
35,220,160,120,100
34,210,150,120,90
2A,340,250,190,160
2K,310,220,170,140
2Q,290,200,150,120
2J,260,190,140,110
2T,250,170,130,110
29,230,160,120,90
28,220,150,110,90
27,210,140,110,90
26,210,140,110,90
25,200,140,110,90
24,190,130,100,80
23,180,130,100,80
